"Date","Price","Open","High","Low","Change %"
"May 20","338.280","334.680","338.280","328.250","2.08%"
"Apr 20","331.390","316.140","331.390","312.940","5.56%"
"Mar 20","313.940","350.670","351.450","295.910","-12.38%"
"Feb 20","358.310","360.690","370.300","358.310","-1.12%"
"Jan 20","362.380","356.820","363.790","356.620","1.05%"
"Dec 19","358.600","355.720","358.900","351.320","0.79%"
"Nov 19","355.780","350.030","355.780","349.960","1.69%"
"Oct 19","349.860","351.030","351.850","346.450","-0.40%"
"Sep 19","351.270","346.140","351.270","346.140","1.92%"
"Aug 19","344.640","348.070","348.910","340.680","-1.39%"
"Jul 19","349.500","341.550","349.680","341.550","2.43%"
"Jun 19","341.200","336.080","344.410","333.910","1.47%"
"May 19","336.250","341.190","341.190","333.980","-1.37%"
"Apr 19","340.910","337.010","340.910","337.010","1.24%"
"Mar 19","336.730","334.210","337.160","332.290","0.75%"
"Feb 19","334.210","324.860","334.440","324.860","2.88%"
"Jan 19","324.860","311.340","325.550","311.340","4.34%"
"Dec 18","311.340","324.440","327.220","311.340","-4.04%"
"Nov 18","324.440","320.610","327.760","319.730","1.19%"
"Oct 18","320.610","333.220","334.740","320.210","-3.39%"
"Sep 18","331.870","333.040","333.040","328.240","-0.35%"
"Aug 18","333.040","334.190","335.270","332.240","-0.34%"
"Jul 18","334.190","327.760","334.190","327.410","1.90%"
"Jun 18","327.970","332.890","335.310","327.420","-1.31%"
"May 18","332.310","327.000","335.280","325.540","1.61%"
"Apr 18","327.050","322.140","327.050","322.140","1.58%"
"Mar 18","321.950","331.080","331.080","320.870","-2.84%"
"Feb 18","331.370","335.750","335.750","323.090","-2.13%"
"Jan 18","338.570","334.080","340.610","333.400","1.09%"
"Dec 17","334.920","334.150","336.410","332.630","0.39%"
"Nov 17","333.610","333.510","337.890","329.750","0.20%"
"Oct 17","332.960","330.890","334.640","330.890","0.49%"
"Sep 17","331.350","324.460","331.350","324.460","2.86%"
"Aug 17","322.140","330.090","330.090","322.140","-2.44%"
